"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "JSON", "comment", "blank", "total"
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/App.css", "CSS", 0, 0, 37, 0, 0, 0, 6, 43
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/App.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 3, 13
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/assets/breville.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/InspirationCard.tsx", "TypeScript JSX", 0, 81, 0, 0, 0, 0, 2, 83
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/Layout.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 0, 7, 117
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/Login/LoginCard.tsx", "TypeScript JSX", 0, 146, 0, 0, 0, 0, 4, 150
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/NaviHeader.tsx", "TypeScript JSX", 0, 289, 0, 0, 0, 0, 10, 299
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/NewFeaturedCard.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 0, 2, 133
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SearchCard.tsx", "TypeScript JSX", 0, 410, 0, 0, 0, 0, 7, 417
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/ShippingHeader.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 1, 4, 80
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/ShopCard.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 2, 7, 121
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SmallFeatureCard.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 1, 5, 148
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SmallInspirationCard.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 0, 4, 95
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SmallMenuBox.tsx", "TypeScript JSX", 0, 240, 0, 0, 0, 0, 5, 245
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SmallShopCard.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 0, 5, 106
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SmallSupportCard.tsx", "TypeScript JSX", 0, 206, 0, 0, 0, 0, 11, 217
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SmallSupportSubtitle.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 5, 62
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/header/SupportCard.tsx", "TypeScript JSX", 0, 230, 0, 0, 0, 0, 5, 235
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/components/home/Home.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 5, 13
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/hooks/closeSearchContext.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 3, 22
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/hooks/useCloseSearch.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/index.css", "CSS", 0, 0, 22, 0, 0, 77, 3, 102
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/main.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 1, 14
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/pages/HomePage.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 2, 15
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/listDataInSupport.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 37
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/newFeature1.json", "JSON", 0, 0, 0, 0, 17, 0, 5, 22
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/newFeature2.json", "JSON", 0, 0, 0, 0, 17, 0, 6, 23
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/searchCard.json", "JSON", 0, 0, 0, 0, 38, 0, 3, 41
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/searchCardVideo.json", "JSON", 0, 0, 0, 0, 23, 0, 1, 24
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/shopMenu.json", "JSON", 0, 0, 0, 0, 96, 0, 1, 97
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/store/theme.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 1, 31
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/utilities/TestAPP.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 30, 9, 72
"/Users/Jakai/Documents/Documents/07-WEb-DEV/08-Personal-Pros/04breville/breville/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 35, 2517, 59, 1, 228, 112, 134, 3086